ingredientNo	recipeNumber	subHeadingNo	ingredient	mainIngredients
2872	289	1	2 green onions, thinly sliced	GREEN ONION
2873	289	1	Steamed SunRice Japanese Style Sushi Rice, to serve	RICE, SUSHI
2874	290	1	1 large mango, peeled, cut into 1.5cm cubes	MANGO
2875	290	1	1 long red chilli, deseeded, finely chopped	CHILLI
2876	290	1	1/2 red onion, finely chopped	ONION
2877	290	1	1/2 cup chopped fresh coriander leaves	CORIANDER
2878	290	1	2 tablespoons lime juice	LIME JUICE
2879	290	1	4 (110g each) chicken thigh fillets, trimmed, halved	CHICKEN
2880	291	1	6 even-sized sebago or red rascal potatoes, peeled, halved	POTATOE
2881	291	1	2/3 cup olive oil	OLIVE OIL
2882	291	1	1/4 cup fresh breadcrumbs (made from day old bread)	BREADCRUMB
2883	291	1	1 tablespoon finely chopped fresh rosemary	ROSEMARY
2884	291	1	1/2 cup finely grated parmesan cheese	PARMESAN CHEESE
2885	291	1	1 1/2 cups fresh basil leaves	BASIL
2886	291	1	2 tablespoons pine nuts	PINE NUT
2887	291	1	2 garlic cloves, quartered	GARLIC
2888	291	1	300g green beans, trimmed	GREEN BEAN
2889	291	1	1 Ingham Cooked Free Range Barbecue Chicken	CHICKEN
2890	292	1	500g skinless chicken breast fillets, flattened with a mallet to 1cm thickness	CHICKEN BREAST
2891	292	1	1 tablespoon Coles Brand Baby Capers, roughly chopped	CAPER
2892	292	1	1 medium shallot, finely chopped	SHALLOT
2893	292	1	1 lemon, zest and juice	JUICE, LEMON
2894	292	1	2 teaspoons Coles Brand Italian White Wine Vinegar	WINE VINEGAR, WHIT
2895	292	1	3 tablespoons olive oil	OLIVE OIL
2896	292	1	2 small zucchinis (180g)	ZUCCHINI
2897	292	1	75g baby rocket	ROCKET
2898	292	1	1/2 cup cherry tomatoes, halved	TOMATOES
2899	293	1	2 tablespoons sesame seeds	SESAME SEED
2900	293	1	2 garlic cloves, peeled	GARLIC
2901	293	1	2 teaspoons sambal oelek (see note)	SAMBAL OELEK
2902	293	1	1/4 cup (60ml) soy sauce	SOY SAUCE
2903	293	1	1/4 cup (55g) caster sugar	SUGAR
2904	293	1	1/4 cup (60ml) white vinegar	VINEGAR
2905	293	1	2 tablespoons vegetable oil	VEGETABLE OIL
2906	293	1	3 (about 800g) thick boneless sirloin (New York cut) steaks, fat trimmed, thinly s	FAT
2907	293	1	1/4 (about 300g) red cabbage, thinly sliced	RED CABBAGE
2908	293	1	3 green onions, trimmed, thinly sliced	GREEN ONION
2909	293	1	3 red radishes, cut into matchsticks	RADISHE
2910	293	1	Steamed SunRice White Medium Grain Rice, to serve	RICE
2911	294	1	125g vermicelli rice noodles	RICE
2912	294	1	1kg Coles BBQ Beef Steak, tenderised	BEEF STEAK
2913	294	1	1/3 cup (80ml) lime juice	LIME JUICE
2914	294	1	1 1/2 tablespoons soy sauce	SOY SAUCE
2915	294	1	1 tablespoon fish sauce	FISH SAUCE
2916	294	1	1 1/2 tablespoons palm sugar	SUGAR
2917	294	1	1 garlic clove, crushed	CLOVE, GARLIC
2918	294	1	1 long red chilli, finely chopped	CHILLI
2919	294	1	Salt and pepper	PEPPER, SALT
2920	294	1	1/2 red onion, thinly sliced	ONION
2921	294	1	200g punnet Perino grape tomatoes, halved	TOMATOES, GRAPE
2922	294	1	2 Lebanese cucumbers, cut into ribbons	CUCUMBER
2923	294	1	75g snow peas, trimmed, thinly sliced	SNOW PEA
2924	294	1	1 cup mint leaves	MINT
2925	294	1	1 cup coriander leaves	CORIANDER
2926	294	1	Lime wedges, to serve	LIME
2927	295	1	8 (1.8kg) chicken thigh cutlets, skin intact	CHICKEN
2928	295	1	2 x 33g sachets goreng spice mix	SPICE MIX
2929	295	1	1 lemongrass stalk, cut into 3 pieces	LEMONGRAS
2930	295	1	2 dried bay leaves	BAY LEAVE
2931	295	1	3 cups Campbell's Real Stock Chicken	CHICKEN
2932	295	1	270ml coconut cream	CREAM, COCONUT
2933	295	1	Long red chillies, to serve	CHILLIE
2934	296	1	1 1/2 teaspoon brown sugar	BROWN SUGAR
2935	296	1	1 1/2 teaspoon cayenne pepper	CAYENNE PEPPER
2936	296	1	1 1/2 teaspoon paprika	PAPRIKA
2937	296	1	1 cup chopped fresh coriander	CORIANDER
2938	296	1	1/3 cup olive oil, divided	OLIVE OIL
2939	296	1	2 tablespoons butter, at room temperature	BUTTER
2940	296	1	2 limes, zest only, plus wedges for garnish	LIME
2941	296	1	6 chicken drumsticks	CHICKEN DRUMSTICK
2942	296	1	6 chicken wings, cut in half through the joint	CHICKEN
2943	296	1	3 corn cobs, husks and silks removed	CORN
2944	296	1	1 brown onion, thinly sliced into rings	ONION
2945	297	1	4 corn cobs, husks and silk removed, halved	CORN
2946	297	1	50g butter, softened	BUTTER
2947	297	1	1 tablespoon chopped fresh chives	CHIVE
2948	298	1	4 corn cobs, husks and silk removed	CORN
2949	298	1	2 (125g each) chorizo sausages, sliced	SAUSAGE
2950	298	1	1 medium green capsicum, finely chopped	CAPSICUM, GREEN
2951	298	1	1 medium avocado, chopped	AVOCADO
2952	298	1	100g baby roma tomatoes, halved	TOMATOES
2953	298	1	1/2 cup fresh coriander leaves, chopped	CORIANDER
2954	298	1	2 tablespoons lime juice	LIME JUICE
2955	299	1	8 cobs of fresh corn, husks removed	CORN
2956	299	1	1 tablespoon olive oil	OLIVE OIL
2957	300	1	6 corncobs, husks and silk removed	CORNCOBS
2958	300	1	125g unsalted butter, at room temperature	UNSALTED BUTTER
2959	300	1	1/4 cup fresh coriander leaves, chopped	CORIANDER
2960	300	1	1/4 cup fresh continental parsley leaves, chopped	PARSLEY
2961	300	1	1 long fresh red chilli, halved, deseeded, finely chopped	CHILLI
2962	300	1	1 garlic clove, crushed	CLOVE, GARLIC
2963	300	1	1/2 teaspoon ground cumin	CUMIN
2964	300	1	1/2 teaspoon cayenne pepper	CAYENNE PEPPER
2965	300	1	1 tablespoon olive oil	OLIVE OIL
2966	301	1	125ml (1/2 cup) apple cider vinegar (see note)	CIDER VINEGAR
2967	301	1	80ml (1/3 cup) soy sauce	SOY SAUCE
2968	301	1	6 cloves garlic, bruised	GARLIC
2969	301	1	3cm piece ginger, finely grated	GINGER
2970	301	1	2 long red chillies, thinly sliced, plus extra, sliced, to serve	CHILLIE
2971	301	1	4 bay leaves	BAY LEAVE
2972	301	1	55g (1/4 cup firmly packed) brown sugar	BROWN SUGAR
2973	301	1	1 tablespoon black peppercorns	PEPPERCORN
2974	301	1	1 large onion, thinly sliced	ONION
2975	301	1	1.2kg chicken wings	CHICKEN
2976	301	1	Steamed SunRice White Long Grain Rice, to serve	RICE
2977	302	1	2 tablespoons plain flour	FLOUR
2978	302	1	800g chicken thigh fillets, excess fat trimmed, halved	FAT, CHICKEN
2979	302	1	1 1/2 tablespoons olive oil	OLIVE OIL
2980	302	1	1 red onion, halved, cut into thin wedges	ONION
2981	302	1	2 garlic cloves, thinly sliced	GARLIC
2982	302	1	80ml (1/3 cup) white wine	WHITE WINE
2983	302	1	250ml (1 cup) water	WATER
2984	302	1	1 chicken stock cube, crumbled	STOCK CUBE
2985	302	1	4 dried bay leaves	BAY LEAVE
2986	302	1	1 tablespoon dried oregano leaves	OREGANO
2987	302	1	1 tablespoon brown sugar	BROWN SUGAR
2988	302	1	2 teaspoons red wine vinegar	WINE VINEGAR, RED 
2989	302	1	85g (1/2 cup) green olives, drained	GREEN OLIVE
2990	302	1	Steamed couscous, to serve	COUSCOUS
2991	303	1	1/4 cup olive oil, divided	OLIVE OIL
2992	303	1	1 tablespoon finely chopped shallot	SHALLOT
2993	303	1	1 garlic clove, finely chopped	CLOVE, GARLIC
2994	303	1	250g cherry tomatoes, halved	TOMATOES
2995	303	1	2 boneless skinless chicken breasts (about 300g each)	CHICKEN BREAST
2996	303	1	50g baby rocket leaves	ROCKET
2997	303	1	200g fresh mozzarella or bocconcini cheese, drained, torn into pieces	CHEESE, BOCCONCINI
2998	303	1	1 lemon, cut into wedges	LEMON
2999	304	1	2 tbs olive oil	OLIVE OIL
3000	304	1	8 (about 800g) chicken thigh fillets, cut into 2cm pieces	CHICKEN
3001	304	1	2 brown onions, coarsely chopped	ONION
3002	304	1	2 garlic cloves, crushed	GARLIC
3003	304	1	1 tbs finely grated ginger	GINGER
3004	304	1	1 tsp ground cumin	CUMIN
3005	304	1	1 tsp saffron threads	SAFFRON
3006	304	1	2 tsp ground cinnamon	CINNAMON
3007	304	1	185ml chicken stock	CHICKEN
3008	304	1	1/4 cup (45g) blanched almonds, toasted, finely chopped	ALMOND
3009	304	1	1 tbs icing sugar	SUGAR
3010	304	1	100g butter, melted	BUTTER
3011	304	1	8 sheets filo pastry	FILO PASTRY
3012	304	1	1 egg, lightly whisked	EGG
3013	304	1	1/2 cup coarsely chopped coriander	CORIANDER
3014	305	1	1 barbecue chicken, skin and bones removed, coarsely shredded	CHICKEN
3015	305	1	1 cup (235g) mayonnaise	MAYONNAISE
3016	305	1	1 tablespoon Dijon mustard	MUSTARD
3017	305	1	1 tablespoon lemon juice	LEMON JUICE
3018	305	1	4 celery sticks, finely chopped	CELERY
3019	305	1	1/2 cup (65g) toasted slivered almonds	SLIVERED ALMOND
3020	305	1	1/3 cup finely chopped fresh tarragon	TARRAGON
3021	305	1	1 loaf sliced wholemeal sandwich bread	BREAD
3022	306	1	1kg chicken mince	CHICKEN
3023	306	1	1 brown onion, finely chopped	ONION
3024	306	1	1 red capsicum, diced	CAPSICUM
3025	306	1	4 wheat cereal biscuits, crushed	CEREAL, WHEAT
3026	306	1	1/2 cup slivered almonds, roughly chopped	SLIVERED ALMOND
3027	306	1	1 1/4 cups grated parmesan cheese	PARMESAN CHEESE
3028	306	1	2 tablespoons flat-leaf parsley leaves, chopped	PARSLEY
3029	306	1	1 egg, lightly beaten	EGG
3030	306	1	2 tablespoons olive oil salad greens and potato salad,  to serve	OLIVE OIL
3031	307	1	2 Granny Smith apples, thinly sliced	APPLE
3032	307	1	2 tablespoons lemon juice	LEMON JUICE
3033	307	1	1 store bought roast chicken, meat removed and shredded roughly	CHICKEN
3034	307	1	1/4 green cabbage, shredded	CABBAGE, GREEN
3035	307	1	1/4 red cabbage, shredded	RED CABBAGE
3036	307	1	1 large carrot, julienned (or shredded through food processor)	CARROT
3037	307	1	1 cup Praise Deli Style Coleslaw Dressing	PRAISE DELI STYLE 
3038	307	1	100g rocket leaves	ROCKET
3039	307	1	100g baby spinach leaves	SPINACH
3040	307	1	1/4 cup roasted peanuts, chopped	PEANUT
3041	308	1	1/2 large green apple, finely chopped	APPLE, GREEN
3042	308	1	1 tablespoon lemon juice	LEMON JUICE
3043	308	1	2 1/2 cups chopped barbecue chicken breast	CHICKEN BREAST
3044	308	1	2 celery sticks, finely chopped	CELERY
3045	308	1	2 1/2 tablespoons chopped fresh chives	CHIVE
3046	308	1	125g (1/2 cup) whole egg mayonnaise	WHOLE EGG
3047	308	1	1 tablespoon poppy seeds	POPPY SEED
3048	308	1	1 1/2 teaspoons Dijon mustard	MUSTARD
3049	308	1	16 slices soft light rye bread	RYE BREAD
3050	308	1	2 tablespoons butter, at room temperature	BUTTER
3051	308	1	Baby herbs, to decorate (optional)	BABY HERBS
3052	309	1	275g baby roma truss tomatoes	TOMATOES
3053	309	1	Olive oil cooking spray	OLIVE OIL
3054	309	1	2 pink lady apples	APPLE
3055	309	1	1 tablespoon extra virgin olive oil	OLIVE OIL
3056	309	1	6 thin chicken sausages	CHICKEN
3057	309	1	2 leeks, trimmed, halved, thinly sliced	LEEK
3058	309	1	3 teaspoons finely chopped fresh rosemary	ROSEMARY
3059	309	1	3 teaspoons finely chopped fresh thyme	THYME
3060	309	1	2 garlic cloves, crushed	GARLIC
3061	309	1	8 slices white crusty bread, halved	BREAD
3062	309	1	6 eggs	EGG
3063	309	1	1 1/2 cups milk	MILK
3064	309	1	Fresh flat-leaf parsley sprigs, to serve	PARSLEY
3065	310	1	olive oil cooking spray	OLIVE OIL
3066	310	1	8 chicken lovely legs	CHICKEN
3067	310	1	1 large brown onion, finely chopped	ONION
3068	310	1	2 garlic cloves, crushed	GARLIC
3069	310	1	2 teaspoons ground cumin	CUMIN
3070	310	1	2 teaspoons ground coriander	CORIANDER
3071	310	1	1/4 teaspoon ground cinnamon	CINNAMON
3072	310	1	pinch cayenne pepper	CAYENNE PEPPER
3073	310	1	2 1/4 cups Campbell's Real Stock Chicken Salt Reduced	SALT, CHICKEN
3074	310	1	2 carrots, peeled, thickly sliced	CARROT
3075	310	1	2 parsnips, peeled, thickly sliced	PARSNIP
3076	310	1	1/2 cup dried apricots	DRIED APRICOT
3077	310	1	1 cup couscous	COUSCOUS
3078	310	1	1/3 cup coriander leaves, roughly chopped	CORIANDER
3079	311	1	3 tablespoons olive oil	OLIVE OIL
3080	311	1	3 single chicken breast fillets	CHICKEN BREAST
3081	311	1	1/4 cup (60ml) balsamic vinegar	BALSAMIC VINEGAR
3082	311	1	Salt & freshly ground pepper	PEPPER, SALT
3083	311	1	4 apricots, halved, stone removed, cut into wedges	APRICOT
3084	311	1	2 Lebanese cucumbers, peeled into ribbons	CUCUMBER
3085	311	1	100g pkt baby salad leaves with herbs	BABY SALAD LEAVES 
3086	311	1	100g goat's cheese, crumbled	CHEESE
3087	312	1	2 (about 1.5kg each) whole fresh chickens	CHICKEN
3088	312	1	1 tablespoon ghee or olive oil	OLIVE OIL
3089	312	1	2 red onions, halved, thinly sliced	ONION
3090	312	1	2 garlic cloves, crushed	GARLIC
3091	312	1	1 tablespoon finely grated fresh ginger	GINGER
3092	312	1	1 tablespoon ground cumin	CUMIN
3093	312	1	Large pinch of saffron threads	SAFFRON
3094	312	1	1 cinnamon stick	CINNAMON
3095	312	1	2 teaspoons harissa (optional – see related recipe)	HARISSA
3096	312	1	400g can diced tomatoes	TOMATOES
3097	312	1	250ml (1 cup) Campbell's Real Stock Chicken (see note)	CHICKEN
3098	312	1	225g pkt dried apricots	DRIED APRICOT
3099	312	1	2 tablespoons chopped fresh continental parsley	PARSLEY
3100	312	1	2 tablespoons chopped fresh coriander	CORIANDER
3101	312	1	Harissa (optional), extra, to serve	HARISSA, EXTRA
3102	313	1	1 small chicken or 2 spatchcock, cut into pieces	CHICKEN
3103	313	1	1 teaspoon ground ginger	GINGER
3104	313	1	1/2 teaspoon ground cinnamon	CINNAMON
3105	313	1	4 tablespoons olive oil	OLIVE OIL
3106	313	1	2 onions, thinly sliced	ONION
3107	313	1	500ml Campbell's Real Stock Chicken	CHICKEN
3108	313	1	1/2 teaspoon saffron threads	SAFFRON
3109	313	1	3 cloves garlic, crushed	GARLIC
3110	313	1	1 teaspoon paprika	PAPRIKA
3111	313	1	1 teaspoon ground cumin	CUMIN
3112	313	1	1 teaspoon ground coriander	CORIANDER
3113	313	1	300g apricots, halved, stoned	APRICOT
3114	313	1	2 bay leaves	BAY LEAVE
3115	313	1	200g instant couscous	COUSCOUS
3116	313	1	2 tablespoons chopped pistachio nuts	PISTACHIO NUT
3117	313	1	Fresh coriander, to garnish	CORIANDER
3118	314	1	1 lemon, halved	LEMON
3119	314	1	2 globe artichokes	GLOBE ARTICHOKE
3120	314	1	1 tablespoon olive oil	OLIVE OIL
3121	314	1	6kg Coles RSPCA Approved Whole Chicken, cut into 8 pieces	CHICKEN
3122	314	1	2 large red washed potatoes, cut into 3cm pieces	POTATOE
3123	314	1	1 red onion, cut into wedges	ONION
3124	314	1	2 garlic cloves, finely chopped	GARLIC
3125	314	1	4 large ripe field tomatoes, chopped	TOMATOES
3126	314	1	1 cup salt-reduced chicken stock	CHICKEN
3127	314	1	1/2 cup dry white wine	WHITE WINE
3128	314	1	1/4 cup oregano sprigs, plus extra leaves, to serve	OREGANO
3129	315	1	600g chicken thigh fillets, trimmed	CHICKEN
3130	315	1	340g jar marinated artichoke hearts	ARTICHOKE
3131	315	1	24 (350g) small button mushrooms	MUSHROOM
3132	315	1	1/2 cup lemon juice (see note)	LEMON JUICE
3133	315	1	2 x 240g cans chickpeas, drained, rinsed	CHICKPEAS DRAINED
3134	315	1	1/2 cup fresh flat-leaf parsley leaves, roughly chopped	PARSLEY
3135	316	1	2 tablespoons vegetable oil	VEGETABLE OIL
3136	316	1	2 brown onions, finely chopped	ONION
3137	316	1	2 garlic cloves, finely chopped	GARLIC
3138	316	1	500g chicken mince	CHICKEN
3139	316	1	250ml (1 cup) water	WATER
3140	316	1	125ml (1/2 cup) white wine	WHITE WINE
3141	316	1	1 tablespoon fresh thyme leaves	THYME
3142	316	1	1 tablespoon chicken stock powder	CHICKEN
3143	316	1	1 teaspoon finely grated lemon rind	LEMON
3144	316	1	100g butter	BUTTER
3145	316	1	40g (1/4 cup) plain flour	FLOUR
3146	316	1	1L (4 cups) milk	MILK
3147	316	1	20g (1/4 cup) finely grated parmesan	PARMESAN
3148	316	1	Pinch of freshly grated nutmeg	PINCH OF FRESHLY G
3149	316	1	250g pkt dried lasagne sheets	LASAGNE SHEETS
3150	316	1	100g fresh mozzarella, coarsely grated	MOZZARELLA
3151	316	1	1 bunch mini green asparagus (see note)	ASPARAGUS, GREEN
3152	316	1	2 tablespoons pine nuts	PINE NUT
3153	317	1	olive oil cooking spray	OLIVE OIL
3154	317	1	600g chicken breast fillets, trimmed	CHICKEN BREAST
3155	317	1	6 cups Campbell's Real Stock Chicken	CHICKEN
3156	317	1	2 teaspoons olive oil	OLIVE OIL
3157	317	1	1 medium brown onion, chopped	ONION
3158	317	1	1 garlic clove, crushed	CLOVE, GARLIC
3159	317	1	2 cups SunRice Arborio Risotto Rice	RICE
3160	317	1	1/2 cup dry white wine	WHITE WINE
3161	317	1	1 bunch asparagus, cut into 4cm lengths	ASPARAGUS
3162	317	1	1 teaspoon finely grated lime rind	LIME
3163	317	1	2 teaspoons lime juice	LIME JUICE
3164	317	1	small basil leaves, to serve	BASIL
3165	318	1	16 parbake white buffet rolls	ROLL
3166	318	1	1 bunch thin asparagus, woody ends trimmed, cut in half crossways	ASPARAGUS
3167	318	1	125g (1/2 cup) whole-egg mayonnaise	MAYONNAISE
3168	318	1	1 tablespoon drained capers, chopped	CAPER
3169	318	1	1 teaspoon finely grated lemon rind	LEMON
3170	318	1	1 (about 150g) smoked chicken breast fillet, thinly sliced	CHICKEN BREAST
3171	319	1	2 bunches asparagus, trimmed, sliced diagonally into 5cm pieces	ASPARAGUS
3172	319	1	1 large barbecued chicken, skin removed, shredded (see note)	CHICKEN
3173	319	1	250g cherry tomatoes, halved	TOMATOES
3174	319	1	100g slivered almonds, toasted	SLIVERED ALMOND
3175	319	2	1/2 cup lemon juice	LEMON JUICE
3176	319	2	1/3 cup olive oil	OLIVE OIL
3177	319	2	2 tablespoons chopped fresh dill sprigs	DILL
3178	319	2	2 garlic cloves, crushed	GARLIC
3179	320	1	12 Baby Coliban (Chat) potatoes (see note)	POTATOE
3180	320	1	2 bunches asparagus, woody ends trimmed, halved diagonally	ASPARAGUS
3181	320	1	2 single chicken breast fillets	CHICKEN BREAST
3182	320	1	Olive oil spray	OIL SPRAY, OLIVE O
3183	320	1	2 garlic cloves, finely chopped	GARLIC
3184	320	1	3cm-piece fresh ginger, peeled, finely grated	GINGER
3185	320	1	250ml (1 cup) coconut-flavoured light evaporated milk	EVAPORATED MILK
3186	320	1	2 tablespoons light crunchy peanut butter	PEANUT BUTTER
3187	320	1	2 teaspoons kecap manis	KECAP MANIS
3188	320	1	1/2 wombok (Chinese cabbage) hard core removed, finely shredded	WOMBOK (CHINESE CA
3189	320	1	150g bean sprouts, trimmed	BEAN SPROUT
3190	321	1	1 barbecued or roast chicken	CHICKEN
3191	321	1	3/4 cup whole-egg mayonnaise	MAYONNAISE
3192	321	1	1 avocado, peeled, stone removed, mashed	AVOCADO
3193	321	1	1 tablespoon lemon juice	LEMON JUICE
3194	321	1	1 loaf white sandwich bread	BREAD
3195	321	1	1 loaf wholemeal sandwich bread	BREAD
3196	322	1	1 tablespoon vegetable oil	VEGETABLE OIL
3197	322	1	500g Coles RSPCA Approved Chicken Breast Fillets	CHICKEN BREAST
3198	322	1	3 teaspoons cumin seeds	CUMIN
3199	322	1	1/2 iceberg lettuce, coarsely chopped	LETTUCE
3200	322	1	2 Hass avocados, cut into chunks	AVOCADO
3201	322	1	250g packet naan bread, toasted, torn into pieces	BREAD
3202	322	1	1/2 red onion, thinly sliced	ONION
3203	322	1	1 cup mint leaves, torn	MINT
3204	322	1	2 tablespoons macadamia oil	MACADAMIA OIL
3205	322	1	1 1/2 tablespoons lemon juice	LEMON JUICE
3206	323	1	3 cups dried fusilli pasta	PASTA
3207	323	1	3 cups shredded cooked chicken	CHICKEN
3208	323	1	1/2 x 285g jar piquillo peppers, drained, thinly sliced (see note)	PEPPER
3209	323	1	4 green onions, thinly sliced	GREEN ONION
3210	323	1	2 avocados, sliced	AVOCADO
3211	323	1	50g baby spinach, roughly shredded	SPINACH
3212	323	1	1/2 cup whole-egg mayonnaise	MAYONNAISE
3213	323	1	1/4 cup lemon juice	LEMON JUICE
3214	323	1	2 tablespoons chopped fresh thyme	THYME
3215	324	1	500g Coles RSPCA approved chicken mince	CHICKEN
3216	324	1	1/4 cup chopped semi-dried tomatoes	TOMATOES
3217	324	1	1 tablespoon semi-dried tomatoes oil reserved from tub	TOMATOES
3218	324	1	2 garlic cloves, crushed	GARLIC
3219	324	1	1/3 cup (35g) packaged breadcrumbs	BREADCRUMB
3220	324	1	2 tablespoons coriander, chopped	CORIANDER
3221	324	1	2 cups basil leaves	BASIL
3222	324	1	1 garlic clove, chopped, extra	CLOVE, GARLIC
3223	324	1	2 tablespoons walnut kernels, toasted	WALNUT
3224	324	1	1 teaspoon lemon rind, finely grated	LEMON
3225	324	1	1/4 cup (60ml) lemon juice	LEMON JUICE
3226	324	1	1/4 cup (60ml) extra virgin olive oil	OLIVE OIL
3227	324	1	1 avocado, stoned,chopped	AVOCADO
3228	324	1	4 light rye sourdough rolls, split, toasted	ROLL
3229	324	1	2 tomatoes, sliced	TOMATOES
3230	324	1	50g baby spinach	SPINACH
3231	324	1	2 tablespoons balsamic glaze	BALSAMIC GLAZE
3232	324	1	Mixed salad leaves, to serve	MIXED SALAD LEAVES
3233	325	1	8 flour tortillas	FLOUR
3234	325	1	50g baby spinach or baby rocket	ROCKET, SPINACH
3235	325	1	2/3 cup (140g) semi-dried tomatoes, drained, chopped	TOMATOES
3236	325	1	1 large avocado, thinly sliced (see note)	AVOCADO
3237	325	1	1 large barbecued chicken, meat shredded (see note)	CHICKEN
3238	325	1	1 cup (120g) grated cheddar cheese	CHEDDAR CHEESE
3239	325	1	sour cream and lime wedges, to serve	SOUR CREAM
3240	326	1	2 tablespoons cajun seasoning	CAJUN SEASONING
3241	326	1	1 tablespoon olive oil	OLIVE OIL
3242	326	1	600g chicken breast fillets, trimmed	CHICKEN BREAST
3243	326	1	2 cups SunRice White Long Grain Rice, rinsed	RICE
3244	326	1	150g baby spinach	SPINACH
3245	326	1	2 corn cobs	CORN
3246	326	1	1 avocado, sliced	AVOCADO
3247	326	1	3 green onions, sliced	ONIONS SLICED
3248	326	1	1/2 cup coriander sprigs	CORIANDER
3249	326	2	1/2 teaspoon chilli powder	CHILLI POWDER
3250	326	2	1/4 cup buttermilk	BUTTERMILK
3251	326	2	1/2 cup whole-egg mayonnaise	MAYONNAISE
3252	326	2	1 lime, juiced	LIME
3253	327	1	60g (1/3 cup) pepitas (pumpkin seeds)	PEPITAS (PUMPKIN S
3254	327	1	1 tablespoon olive oil	OLIVE OIL
3255	327	1	3 (about 500g) single chicken breast fillets	CHICKEN BREAST
3256	327	1	1 x 100g pkt baby watercress salad mix	MIX
3257	327	1	2 avocados, halved, stones removed, peeled, thinly sliced crossways	AVOCADO
3258	327	2	2 egg yolks	EGG
3259	327	2	1 small garlic clove	CLOVE, GARLIC
3260	327	2	125ml (1/2 cup) olive oil	OLIVE OIL
3261	327	2	60ml (1/4 cup) Borges olive oil with chilli pepper and cardamom	CHILLI PEPPER, OLI
3262	327	2	1 tablespoon finely grated lime rind	LIME
3263	327	2	2 tablespoons fresh lime juice	LIME JUICE
3264	328	1	225g (1 1/2 cups) self-raising flour	FLOUR
3265	328	1	30g butter, at room temperature, cubed	BUTTER
3266	328	1	125ml (1/2 cup) milk	MILK
3267	328	1	Plain flour, to dust	FLOUR
3268	328	1	1 tablespoon good-quality whole-egg mayonnaise	MAYONNAISE
3269	328	1	1 x 200g container avocado dip	AVOCADO
3270	328	1	75g shaved chicken breast	CHICKEN BREAST
3271	329	1	1 large (about 285g) skinless chicken breast	CHICKEN BREAST
3272	329	1	4 tablespoons (1/3 cup) ricotta	RICOTTA
3273	329	1	2 spring onions, finely sliced	SPRING ONION
3274	329	1	2 tablespoons finely chopped flat-leaf parsley	PARSLEY
3275	329	1	4 tortillas, halved	TORTILLA
3276	329	1	Flesh of 1 avocado, sliced	AVOCADO
3277	329	1	1 Lebanese cucumber, cut into batons	CUCUMBER
3278	329	1	A handful of baby spinach	SPINACH
3279	330	1	2 (about 400g) single chicken breast fillets	CHICKEN BREAST
3280	330	1	1 x 125g can corn kernels, drained, rinsed	CORN
3281	330	1	1 x 400g can diced roma tomatoes, drained	TOMATOES
3282	330	1	1 small fresh green chilli, deseeded, finely chopped	CHILLI, GREEN
3283	330	1	2 tablespoons coarsely chopped fresh coriander	CORIANDER
3284	330	1	4 flour burrito wraps (Old El Paso brand)	BURRITO, FLOUR
3285	330	1	1/2 small ripe avocado, stone removed, peeled, mashed	AVOCADO
3286	330	1	12 cos lettuce leaves, washed, dried, finely shredded	COS LETTUCE
3287	331	1	1 teaspoon ground cumin	CUMIN
3288	331	1	60ml (1/4 cup) light olive oil	OLIVE OIL
3289	331	1	2 tablespoons fresh lime juice	LIME JUICE
3290	331	1	800g single chicken breast fillets, cut into 5cm pieces	CHICKEN BREAST
3291	331	1	125g (1/2 cup) light sour cream	SOUR CREAM
3292	331	1	4 cups coarsely shredded iceberg lettuce	LETTUCE
3293	331	1	1 medium ripe avocado, halved, stone removed, peeled, coarsely chopped	AVOCADO
3294	331	1	125ml (1/2 cup) bought taco sauce	TACO
3295	331	1	1 tablespoon drained sliced jalapeno chillies	CHILLIE
3296	332	1	1 cup SunRice White Long Grain Rice	RICE
3297	332	1	2 teaspoons sesame oil	SESAME OIL
3298	332	1	500g lean chicken breast mince	CHICKEN BREAST
3299	332	1	1 small red capsicum, finely chopped	CAPSICUM
3300	332	1	3 green onions, thinly sliced	GREEN ONION
3301	332	1	1 garlic clove, crushed	CLOVE, GARLIC
3302	332	1	227g can sliced water chestnuts, drained, chopped	WATER CHESTNUT
3303	332	1	1/4 cup oyster sauce	OYSTER
3304	332	1	4 bunches baby bok choy, washed, dried	BOK CHOY
3305	332	1	1/4 cup soy sauce	SOY SAUCE
3306	333	1	1 tablespoon olive oil	OLIVE OIL
3307	333	1	500g chicken tenderloins, chopped	CHICKEN
3308	333	1	Salt & pepper	PEPPER, SALT
3309	333	1	3 cloves garlic, chopped	GARLIC
3310	333	1	500g baby brussels sprouts, halved	BRUSSELS SPROUT
3311	333	1	180ml double cream	CREAM
3312	333	1	1/2 cup fresh wholemeal breadcrumbs	BREADCRUMB
3313	333	1	40g flaked almonds	ALMOND
3314	333	1	1/3 cup freshly squeezed red grapefruit juice	GRAPEFRUIT JUICE
3315	333	1	1 tablespoon olive oil, extra	OLIVE OIL
3316	333	1	2 teaspoons grainy mustard	MUSTARD
3317	333	1	70g bag of mixed lettuce leaves	LETTUCE
3318	334	1	2 chicken breast fillets	CHICKEN BREAST
3319	334	1	1 loaf Turkish bread	TURKISH BREAD
3320	334	1	1 tablespoon olive oil	OLIVE OIL
3321	334	1	4 bacon rashers, halved crossways	BACON
3322	334	1	150g mixed salad leaves	MIXED SALAD LEAVES
