recipeNumber	stepNumber	stepTitle	stepDescription
176	6	Step 6	Preheat the oven to 200C. Grease six 3/4 cup (185ml) ovenproof dishes or ramekins.
176	7	Step 7	Roll out the pastry on a lightly floured work surface until 4mm thick. Using the top of one of the dishes as a guide, cut out 6 rounds of pastry. Divide the chicken mixture among the dishes and top each pie with some thyme leaves. Brush the edge of the dish with a little of the egg wash, then place a piece of pastry over each pie. Press down the edges with a fork to seal. Cut a small cross or two slits in the top of each pie, then brush pastry with a little egg wash to glaze.
176	8	Step 8	Place the pies on a baking tray and bake for 25-30 minutes until the pastry is golden and crisp.
176	9	Step 9	Serve pies straight from the oven.
177	1	Step 1	Preheat the oven to 160°C. Grease and line two 20cm round cake pans.
177	2	Step 2	Place chocolate, butter and milk in a saucepan over medium heat and cook, stirring, until melted and smooth. Transfer to a bowl and set aside to cool completely.
177	3	Step 3	Add the sugar, vanilla and eggs to the chocolate mixture and whisk until well combined. Sift in the flour and baking powder, then stir until just combined. Divide mixture evenly between cake pans and tap pans gently on a flat surface to remove any air bubbles. Bake for 1 hour or until a skewer inserted into the centre comes out clean. Cool the cakes in pans for 10 minutes, then turn out onto a wire rack to cool completely.
177	4	Step 4	Meanwhile, for the ganache, place the chocolate and cream in a heatproof bowl set over a saucepan of simmering water (don’t let the bowl touch the water), stirring until smooth and melted. Remove bowl from heat and cover with plastic wrap. Chill, stirring occasionally, for 1 1/2 hours or until it reaches a thick spreadable consistency. Divide the ganache into three portions (you will use 1 portion for the filling and the remaining 2 to ice the cake) and use immediately.
177	5	Step 5	To assemble the cake, trim the top of the cooled cakes to level, then slice each cake in half horizontally. Place one cake layer on a serving plate, and spread with one-third of the ganache filling, then top with 2 tbs jam. Repeat layering two more times, finishing with a final layer of cake. Using a palette knife, spread remaining ganache icing over the top and sides of the cake. Decorate the cake with freeze-dried raspberries, then serve.
178	1	Step 1	Combine the flour and a pinch of salt in a bowl. Holding the frozen butter with a piece of foil or baking paper (this will prevent it from melting), coarsely grate onto a chilled plate. Add grated butter to the flour, then using a round-bladed knife or palette knife, cut through the flour and butter until mixed and evenly combined. Sprinkle 1/3 cup (80 ml) chilled water over the flour and butter mixture.
178	2	Step 2	Using the knife again in a cutting motion, mix until evenly combined and the mixture starts holding together. Press a little of the mixture between your fingers, if it holds together easily, there is no need to add more water. If it doesn’t, add an extra 1 teaspoon chilled water, then test again.
178	3	Step 3	Bring the pastry together with your hands and transfer to a lightly floured, cool work surface. Lightly knead the pastry with your fingertips for 30 seconds or until smooth and soft (the butter pieces will be visible in the pastry). Shape the pastry into a disc, then enclose in plastic wrap and chill for 30 minutes before using.
179	1	Step 1	Heat oil in a large, deep, heavy-based saucepan over medium-high heat. Add onion, garlic and rosemary. Cook, stirring occasionally, for 4 to 5 minutes or until onion has softened.
179	2	Step 2	Add carrot and celery. Season with salt and pepper. Stir to combine. Reduce heat to medium. Cook for 6 to 7 minutes or until vegetables are tender. Increase heat to high. Add mince. Cook, stirring with a wooden spoon to break up mince, for 8 to 10 minutes or until browned.
179	3	Step 3	Add tomato paste and oregano. Cook, stirring occasionally, for 3 minutes. Add passata, stock and wine. Stir to combine. Bring to the boil. Reduce heat to low. Add bay leaves and thyme. Cook for 2 hours, stirring occasionally.
179	4	Step 4	Stir in basil. Season with salt and pepper if needed. Cook, partially covered, for 1 hour or until thickened. Remove and discard thyme stems and bay leaves.
179	5	Step 5	Divide pasta between bowls. Top with sauce. Serve with parmigiano.
180	1	Step 1	Heat the oil in a frying pan over medium-high heat. Add the chicken and cook for 2-3 minutes until lightly browned. Add the beans, chilli, peanuts and half the basil.
180	2	Step 2	Cook for a further 2-3 minutes, then stir in the fish sauce and lime juice. Just before serving, add the remaining basil.
180	3	Step 3	Serve with the steamed jasmine rice and nosh up!
181	1	Step 1	Preheat the oven to 180°C.
181	2	Step 2	Cut each onion into 6 wedges without cutting all the way through the stem end (this will help to keep them intact). Place on a baking tray, drizzle with a little oil and season. Roast for 20 minutes.
181	3	Step 3	For the basil dressing, combine all ingredients in a screwtop jar. Season, then seal and shake to combine. Refrigerate leftover dressing for up to 3 days.
181	4	Step 4	Add vine-ripened cherry tomatoes to tray, drizzle with a little more oil and season, then roast for a further 4-5 minutes until onions are tender and golden, and tomatoes are starting to collapse. Set aside to cool.
181	5	Step 5	Heat a little more oil in a frypan over medium heat. Add 2 slices prosciutto and cook, turning, for 2-3 minutes or until crisp. Drain on paper towel, then transfer to a food processor with breadcrumbs and garlic, and pulse to combine. Heat
181	6	Step 6	2 tbs oil in a frypan and cook breadcrumb mixture, stirring, for 2-3 minutes until golden and crisp. Drain on paper towel.
181	7	Step 7	Layer onions, tomatoes and roast capsicum on a serving platter, drizzle with dressing and scatter over the prosciutto crumbs. Serve salad with the burrata and remaining prosciutto.
182	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Lightly grease a 6-hole, 3/4 cup-capacity, non-stick texas muffin pan.
182	2	Step 2	Cut large pastry sheet into 4 squares. Cut small pastry sheet into 2 squares. Press squares into pan. Combine tomato, olives, ricotta and beans in a bowl. Spoon mixture into pastry cases.
182	3	Step 3	Whisk eggs, milk and pesto together in a jug. Season with salt and pepper. Pour over tomato mixture. Sprinkle with prosciutto. Bake for 20 to 25 minutes or until golden and set. Serve.
183	1	Step 1	Place basil, pine nuts, garlic and parmesan in a food processor. Process until finely chopped. With the motor running, gradually add oil until a thick pesto forms. Season with salt and pepper. Transfer to a bowl. Cover surface with plastic wrap and refrigerate until required.
183	2	Step 2	Cut baguette in half lengthways (do not cut all the way through). Open baguette to sit flat on bench. Spread both sides generously with pesto. Top base with feta, semi-dried tomatoes, capsicum and eggplant. Cover with baguette top.
183	3	Step 3	Cut baguette crossways into 4. Wrap securely in greaseproof paper. Serve.
184	1	Step 1	Preheat grill on high heat. Cut capsicum into large flat pieces. Discard seeds and membrane. Place capsicum, skin-side up, onto grill tray. Grill for 10 minutes or until skin is black. Place into a plastic bag. Seal. Stand for 10 minutes. Peel. Discard the skin.
184	2	Step 2	Roughly chop capsicum, tomatoes, mushrooms, salami and olives so all pieces are similar sizes. Place into a bowl.
184	3	Step 3	Preheat grill on medium-high heat. Grill both sides of bread slices until toasted. While hot, rub 1 side of each slice with garlic. Drizzle each with 1 teaspoon of oil. Spoon antipasto mixture onto bread. Serve.
185	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Slice each baguette diagonally at 1.5cm intervals, being careful not to cut all the way through.
185	2	Step 2	Combine spread, garlic, olives, tomato, chives and basil in a bowl. Season with pepper. Spread both sides of each bread slice with spread mixture. Enclose baguettes tightly in foil. Place on a baking tray. Bake for 10 to 15 minutes or until hot and crisp. Slice and serve.
186	1	Step 1	Pack all ingredients, except oil and vinegar, into a 3 litre-capacity sterilised glass jar (alternatively, divide between 2 smaller jars), ensuring that ingredients are evenly distributed.
186	2	Step 2	Pour oil and vinegar into a large jug and whisk until well combined. Gradually pour oil mixture into jar, while at the same time using a skewer to poke mixture to ensure that oil reaches between ingredients and there are no air pockets, until ingredients are completely covered.
186	3	Step 3	Refrigerate antipasto for at least 24 hours before serving to allow flavours to develop, then bring to room temperature before serving. Serve with bread.
187	1	Step 1	Arrange the mortadella, salami, cheese, tomato, cucumber and olives, if using, in a lunchbox. Wrap or pack the grissini separately.
188	1	Step 1	Very finely shave the marinated artichokes and fennel (a mandolin is ideal). Place in a small bowl with the celery leaves, then toss well with the lemon juice and 2 tablespoons olive oil. Season with sea salt and freshly ground black pepper.
188	2	Step 2	Preheat a barbecue or chargrill pan to high. Brush bread on both sides with olive oil, then grill for 1-2 minutes each side until lightly charred. Rub 1 side of each slice with the cut side of the garlic clove, then sprinkle with sea salt and set aside.
188	3	Step 3	Divide the toast and artichoke salad among plates. Gently pull apart the burrata, place on the bread and sprinkle with chilli flakes and sea salt. Serve drizzled with remaining 1 tablespoon oil.
189	1	Step 1	Cook pasta in a large saucepan of boiling, salted water, following packet directions, until tender. Drain. Return to pan.
189	2	Step 2	Meanwhile, heat oil in a saucepan over medium-high heat. Add onion. Cook for 2 to 3 minutes or until softened. Add pasta sauce, artichokes, capsicums and olives. Bring to the boil. Reduce heat to low. Simmer for 5 minutes or until sauce thickens.
189	3	Step 3	Add sauce to pasta. Stir to combine. Top with parsley and cheese. Serve.
190	1	Step 1	Cook pasta in a large saucepan of boiling water, following packet directions, or until al dente. Drain well.
190	2	Step 2	Meanwhile, heat a large saucepan over medium heat. Add salami and cook, stirring, for 2 mins or until crisp. Transfer to a plate. Add passata, olive, vegetables, artichoke and tomatoes to the pan and bring to a simmer. Cook for 5 mins or until heated through.
190	3	Step 3	Pour the tomato mixture over the pasta and toss to combine. Add the basil and toss to combine. Divide among serving bowls. Sprinkle with the salami and parmesan to serve.
191	1	Step 1	To make basil mayo, place egg yolks, basil, garlic, mustard, salt and vegetable oil in a tall, thin container, use a stick blender, place at the bottom of the container and blend until liquids emulsify. Season with lemon juice.
191	2	Step 2	Cut the ciabatta lengthways in the middle of the loaf 3/4 of the way though.
191	3	Step 3	Spread basil mayo on both sides of the ciabatta, layer with rocket, eggplant, ham, tomatoes and cheese. Wrap in foil or baking paper to take to your picnic. Slice into 10cm lengths as you need at the picnic.
192	1	Step 1	Preheat oven to 200ºC. Place the capsicums in a baking dish. Roast for 50 minutes or until the skin is charred and blistered. transfer to a plastic bag. set aside to cool slightly. peel and seed the capsicums.
192	2	Step 2	Meanwhile, preheat a barbecue grill or chargrill on medium-high. Spray eggplant with oil and cook for 3 minutes each side or until tender. Transfer to a plate. Repeat with the sweet potato and zucchini. Set aside to cool. Season with salt and pepper.
192	3	Step 3	Process the ricotta in a food processor until creamy. Add the basil and egg, and process until the mixture is well combined. Season with salt and pepper.
192	4	Step 4	Reduce oven temperature to 180ºc. Release the base of a round 20cm (base measurement) springform pan. Invert. Secure back into pan. Spray with oil. starting from the centre, place prosciutto, overlapping slightly, over base and side of pan, allowing the sides to overhang. Arrange half the eggplant, overlapping slightly, over the prosciutto. Repeat with half the sweet potato, capsicum and zucchini. Continue layering with remaining eggplant, sweet potato, capsicum and zucchini.
192	5	Step 5	Spread the ricotta mixture over the top. Fold over the edge of the prosciutto to partially enclose. place on a baking tray. Spray the top with oil. Bake for 30 minutes or until the ricotta puffs slightly. Set aside to cool. Serve with crusty bread, if desired.
193	1	Step 1	Preheat grill on high. Place the capsicum, skin-side up, on a baking tray. Cook under grill for 6-8 minutes or until charred and blistered. Transfer to a sealable plastic bag. Set aside for 5 minutes (this helps lift the skin). Peel and thickly slice.
193	2	Step 2	Preheat oven to 220°C. Place the Lebanese bread on a baking tray and spread with the passata. Top with capsicum, artichoke and olives. Season with salt and pepper.
193	3	Step 3	Bake in oven for 10 minutes or until pizza bases are crisp and light brown. Scatter the bocconcini over the pizzas and bake for a further 3-4 minutes or until the bocconcini begins to melt.
193	4	Step 4	Serve pizzas immediately with baby spinach leaves, if desired.
194	1	Step 1	Preheat oven to 200°C. Place the pizza base on a large baking tray. Drain the antipasto on a plate lined with paper towel.
194	2	Step 2	Top the pizza base with antipasto. Bake for 12 minutes.
194	3	Step 3	Sprinkle with mozzarella. Bake for a further 3-5 minutes or until the base is crisp and mozzarella just starts to melt.
194	4	Step 4	Top with the rocket leaves.
195	1	Step 1	To make dough, combine water, yeast and sugar in a jug. Set aside for 5 minutes or until foamy. Add oil and stir to combine. Combine flour and salt in a bowl. Add water mixture; use a round-bladed knife to mix until well combined. Turn onto a lightly floured surface and knead for 10 minutes or until smooth and elastic. Place in a bowl and cover with plastic wrap. Set aside for 30 minutes or until dough rises by a third.
195	2	Step 2	Preheat oven to 240°C. Divide dough into 2 even portions. Roll each to a 40cm round disc; place on 2 oven trays. Spread sugo over each base. Arrange prosciutto, artichokes, capsicum, olives and tomatoes over each pizza. Top with bocconcini. Bake in preheated oven, swapping trays halfway through cooking, for 12-15 minutes or until golden brown and cooked through. Remove from oven. Top with rocket; serve.
196	1	Step 1	Preheat oven to 220°C/200°C fan-forced. Line a large baking tray with baking paper. Place pizza base on prepared tray.
196	2	Step 2	Spread tomato paste over base. Sprinkle with 1/2 cup cheese. Top with roasted tomato, salami, vegetables and olives. Sprinkle with remaining cheese. Bake for 12 to 15 minutes or until cheese has melted and base is crisp.
196	3	Step 3	Combine rocket, onion and parmesan in a large bowl. Drizzle over oil and vinegar. Toss to combine. Season with salt and pepper.
196	4	Step 4	Serve pizza with rocket salad.
197	1	Step 1	Preheat oven to 220. Divide the pizza bases between two baking trays. Spread the tomato paste over the bases and top with the salami. Arrange the peppers, artichoke, olives, tomatoes and bocconcini on top. Bake for 12 minutes or until the crust is golden.
197	2	Step 2	Season with pepper and top with the rocket. Slice and serve with mixed salad leaves.
198	1	Step 1	Place tomatoes, artichokes and olives in 3 separate small bowls. Arrange ham, salami, cheese and eggplant on a platter.
198	2	Step 2	Peel and slice avocado. Place in a bowl and roughly mash. Add sweet chilli sauce and 2 teaspoons lemon juice. Season with salt and pepper and stir to combine.
198	3	Step 3	Serve antipasto with avocado dip, rocket and bread.
199	1	Step 1	To make Parmesan Toast: Preheat oven to 180C or 160C fan. Lay Lebanese bread on 2 baking trays. Drizzle 1 tablespoon oil over each piece of bread. Top each with 1/4 cup parmesan and 1/2 teaspoon Cajun seasoning. Bake for 10 mins until crisp and golden. Cool on trays before breaking into pieces to make toasts.
199	2	Step 2	Arrange dips and remaining ingredients on a large platter. Serve with parmesan toast.
200	1	Step 1	Make garlic bread: Preheat oven to 180°C. Combine butter, garlic and basil in a bowl. Cut bread into 1.5cm-thick slices. Spread butter mixture on both sides of each slice. Wrap in foil. Place onto a baking tray. Bake for 20 minutes or until hot.
200	2	Step 2	Place artichokes, olives, kumara, zucchini, mushrooms, tomatoes, ham, mortadella and prosciutto onto a large platter. Serve with rocket and hot bread.
201	1	Step 1	Preheat the oven to 210°c/190°c fan forced. line 2 large baking trays with baking paper. For the choux pastry, combine the butter and water in a small saucepan over medium heat and cook, stirring, for 1 minute or until the butter melts and mixture just comes to the boil. Reduce heat to low, then add the flour and cook, stirring, for 1-2 minutes or until the mixture forms a ball and comes away from the sides of the pan. set aside for 5 minutes to cool slightly.
201	2	Step 2	Use electric beaters to beat in the egg, a little at a time, beating well after each addition until well combined.
201	3	Step 3	Use a spoon to drop 2 teaspoonfuls of mixture, 5cm apart, onto the prepared trays. Bake for 20-25 minutes or until puffed. cut a slit in the side of each profiterole (don't cut all the way). Bake for a further 5-10 minutes or until golden. transfer to a wire rack to cool.
201	4	Step 4	Cut profiteroles in half. Use electric beaters to beat the cream in a bowl until firm peaks form. spoon the cream into a piping bag fitted with a 1cm round nozzle. Pipe cream evenly over base of profiteroles. Place caramel in a bowl and stir until smooth. divide caramel among profiteroles. top each with 2 slices of banana. Replace profiterole tops and drizzle with the melted chocolate.
202	1	Step 1	Preheat the oven to 190C/170C fan forced. Grease a 3cm-deep, 24.5 x 37cm (base measurement) rectangular cake pan and line with baking paper.
202	2	Step 2	Use electric beaters to beat the butter and sugar in a small bowl until pale and creamy. Add the vanilla bean paste and egg yolks and beat until the sugar almost dissolves. Transfer to a large bowl.
202	3	Step 3	Use electric beaters to whisk the egg whites in a clean, dry bowl until soft peaks form. Use a large metal spoon to fold the flour into the butter mixture alternately with the egg whites until just combined. Combine the bicarb and water in a jug and fold into mixture until just smooth. Pour mixture into the prepared pan and gently spread to the edges. Bake for 15 minutes or until the surface springs back when lightly touched. 4
202	4	Step 4	Place a piece of baking paper on a tea towel. Sprinkle with the extra brown sugar. Turn the warm cake onto the paper. Remove and discard the top sheet of paper.
202	5	Step 5	Starting from the short side closest to you and using the paper as a guide, gently roll up the cake. Set aside for 2-3 minutes. Gently unroll the cake by about two-thirds. Set aside to cool completely.
202	6	Step 6	Reserve 1/3 cup cream. Completely unroll the cooled cake and spread with remaining cream. Thinly slice 1 of the bananas and arrange over cream. Spoon over 1⁄2 cup of the caramel sauce. Carefully roll up the cake and transfer to a serving platter.
202	7	Step 7	Line a baking tray with foil. Lightly grease. Cut the remaining bananas into 5mm-thick long diagonal slices. Place on the prepared tray. Sprinkle liberally with the caster sugar. Use a kitchen blowtorch to melt the sugar until it caramelises.
202	8	Step 8	Microwave the remaining sauce in a heatproof bowl on High for 1 minute or until warmed. Allow bubbles to subside. Top cake with reserved cream and caramelised banana. Drizzle with sauce.
203	1	Step 1	Place a flat baking tray in oven. Preheat oven and tray to 200°C. Use pastry to line base and sides of a 3cm deep, 20cm (base) loose-based fluted tart pan. Trim excess pastry. Place in the freezer for 20 minutes or until frozen.
203	2	Step 2	Place tart pan on hot baking tray. Bake pastry for 15 to 18 minutes or until light golden. Transfer to a wire rack. Cool completely in pan. Remove pastry case from pan and place on serving plate.
203	3	Step 3	Using a balloon whisk, whisk caramel in a bowl until smooth. Spoon into pastry case. Peel bananas and cut into 1cm-thick slices. Drizzle with lemon juice, turning gently to coat. Arrange banana slices on tart just before serving. Serve with cream.
204	1	Step 1	Place caramel in a bowl. Whisk until smooth. Gently fold in custard.
204	2	Step 2	Arrange half the cake in six 1 1/2 cup-capacity serving glasses. Drizzle with half the schnapps, if using. Top with half the custard mixture, then half the banana. Top with half the cream. Repeat the layers. Cover. Refrigerate overnight.
204	3	Step 3	Top trifles with chocolate curls. Serve.
205	1	Step 1	Combine milk, yeast and caster sugar in a bowl. Set aside in a warm draught-free place for 10 minutes or until foamy.
205	2	Step 2	Combine flour, brown sugar and mixed spice in a large bowl. Use your fingertips to rub the butter into the flour mixture until it resembles fine breadcrumbs. Make a well in the centre. Pour in the yeast mixture. Use a wooden spoon to stir until combined, then use your hands to bring the dough together in the bowl.
205	3	Step 3	Turn the dough onto a lightly floured surface and knead for 10-15 minutes or until smooth and elastic. Place in a bowl and cover with plastic wrap. Set aside in a warm, draught-free place to prove for 1 hour or until doubled in size.
205	4	Step 4	Meanwhile, combine the sultanas and mixed peel in a medium bowl. Pour over the tea. Set aside for 1 hour to soak. Drain and pat dry with paper towel.
205	5	Step 5	Spray a 22 x 11cm (base measurement) loaf pan with olive oil spray to lightly grease. Line the base and 2 long sides with baking paper. Turn the dough onto a lightly floured surface. Use your hands to shape the dough into a 25cm square. Sprinkle with the sultana mixture. Fold the sides of the dough over the sultana mixture and gently knead for 5 minutes or until combined. Transfer to prepared pan. Cover loosely with a tea towel. Set aside in a warm draught-free place to prove for 30 minutes or until doubled in size.
205	6	Step 6	Preheat oven to 200°C. Bake on top shelf in oven for 10 minutes. Reduce oven temperature to 160°C. Transfer the loaf to the lowest shelf. Bake for a further 1 hour or until the loaf sounds hollow when turned out and tapped on the base. Set aside in the pan for 5 minutes to cool slightly before turning onto a wire rack. Brush with the honey. Set aside to cool completely. Cut into slices. Serve with butter and extra honey.
206	1	Step 1	Preheat oven to 175°C. Brush a 22cm kugelhopf pan with melted butter to grease. Add breadcrumbs and turn to coat the inside of pan. Shake out excess breadcrumbs.
206	2	Step 2	Use an electric beater to beat together the butter, caster sugar and vanilla sugar in a bowl until pale and creamy. Add the eggs, 1 at a time, beating well after each addition until just combined. Gradually add the flour, cornflour, salt and baking powder and beat until combined. Add the rum and beat to combine. Fold in the almond meal and chocolate until just combined.
206	3	Step 3	Spoon mixture into the pan and smooth the surface. Bake for 1 hour or until a skewer inserted into the centre comes out clean. Set aside for 5 minutes to cool slightly before turning onto a wire rack to cool completely.
206	4	Step 4	To make the ganache, place the chocolate and cream in a heatproof bowl over a saucepan half-filled with simmering water (make sure the bowl doesn't touch the water). Stir for 5 minutes or until chocolate melts. Set aside to cool slightly.
206	5	Step 5	Pour ganache over cake and cut into wedges to serve.
207	1	Step 1	Heat oil in a large frying pan over medium heat. Add onion. Cook, stirring, for 2 to 3 minutes or until softened. Increase heat to high. Add mince. Cook, breaking up with a wooden spoon, for 5 minutes or until browned.
207	2	Step 2	Add seasoning. Cook, stirring, for 1 minute or until fragrant. Stir in stock and tomato paste. Bring to the boil. Reduce heat to low. Simmer for 2 minutes or until slightly thickened.
207	3	Step 3	Heat tortillas following packet directions. Place tortillas on work bench. Top each with mince mixture, avocado, tomato and lettuce. Fold up to enclose filling. Serve.
208	1	Step 1	Place the beef and pork belly in the bowl of a food processor. Pulse briefly until just minced. Transfer to a bowl. Add the breadcrumbs and Tabasco. Season. Use your hands to mix until combined and slightly sticky. Cover and place in the fridge for 30 minutes to chill. Divide into 4 portions and shape into patties.
208	2	Step 2	Meanwhile, for the crispy onion rings, place the onion in a bowl. Pour over the milk. Set aside for 30 minutes to soak. Place flour in a bowl. Season well. Add enough oil to a large saucepan to reach 5cm up the side. Heat vegetable oil over medium-high heat to 180C on a cook's thermometer. Drain the onion rings and toss in flour. Deep-fry, in batches, for 2-3 minutes or until crisp and golden. Drain on paper towel.
208	3	Step 3	Preheat a barbecue flatplate on medium-high. Brush the patties lightly with olive oil. Cook patties for 4 minutes each side or until lightly charred and cooked through. Transfer to a plate.
208	4	Step 4	Divide spinach, tomato and patties among roll bases. Top with sauce, onion rings and roll tops.
209	1	Step 1	Place the potatoes in a medium saucepan and cover with plenty of cold water. Place over high heat and bring to the boil. Reduce heat to medium-low and simmer for 10 minutes or until tender. Add the asparagus and cook for a further 1 minute or until bright green and tender crisp. Refresh under cold running water. Drain well.
209	2	Step 2	Meanwhile, add the bacon to a medium frying pan over high heat. Cook, stirring occasionally, for 5 minutes or until golden brown. Remove from heat.
209	3	Step 3	Combine the mayonnaise, sour cream, lemon juice, mustard and tarragon in a small bowl. Taste and season with salt and pepper and extra lemon juice if necessary.
209	4	Step 4	Use the palm of your hand to gently smash the potatoes. Place in a large bowl with the asparagus, bacon, chicken and green onion. Drizzle with mayonnaise mixture. Cover with plastic wrap and keep salad chilled until ready to serve.
210	1	Step 1	Reserve a few coriander and parsley leaves. Coarsely chop remaining leaves. Process the chopped leaves, garlic, ground coriander, cumin, cayenne pepper, half the lemon juice and 1/4 cup of the olive oil in a food processor until smooth. Season. Transfer to a large bowl. Add the chicken. Toss to coat. Cover. Place in fridge for 2 hours to marinate.
210	2	Step 2	Meanwhile, place the couscous in a heatproof bowl. Add the boiling water. Cover. Set aside for 10 minutes or until absorbed. Fluff with a fork. Stir in the pistachio, pomegranate seeds and reserved herbs.
210	3	Step 3	Whisk the pomegranate juice, honey and remaining oil and lemon juice in a small bowl. Season. Add to the pomegranate mixture and toss to combine.
210	4	Step 4	Preheat a barbecue flatplate on medium-high. Cook the chicken for 6-8 minutes each side or until charred and cook through. Transfer to a plate. Rest for 2-3 minutes. Serve with the couscous salad and rocket.
211	1	Step 1	Make a few slashes in the drumsticks with a sharp knife. Combine the drumsticks with the seasoning.  Drizzle with a little oil.
211	2	Step 2	Preheat a barbecue on medium and reduce heat to medium-low. Cook the chicken, turning regularly for about 12 minutes, or until cooked through.
211	3	Step 3	Meanwhile, combine the chickpeas, beetroot, mint, spinach and feta together. Whisk the lemon juice and oil together. Season with salt and pepper and combine gently with the salad. Serve with the drumsticks.
212	1	Step 1	Combine the pineapple juice, tomato sauce, soy sauce and garlic in a bowl. Add chicken and turn to coat. Cover and place in the fridge for 1 hour to marinate.
212	2	Step 2	Thread the capsicum, shallot, pineapple and chicken alternately onto skewers. Spray lightly with olive oil spray.
212	3	Step 3	Preheat a barbecue flat plate or a large frying pan on medium-high. Cook, turning occasionally, for 10 minutes or until golden. Serve.
213	1	Step 1	Place the chicken in an ovenproof baking dish. Combine bourbon, honey, paprika and garlic in a jug. Pour bourbon mixture over chicken and toss to coat. Cover with plastic wrap and place in the fridge for 3 hours to develop the flavours.
213	2	Step 2	Preheat oven to 200°C. Bake chicken in preheated oven, turning occasionally, for 30 minutes or until golden brown and cooked through. Remove from oven.
213	3	Step 3	Spoon rice among serving bowls. Top with chicken and serve immediately.
214	1	Step 1	In a small heavy saucepan, heat 2 teaspoons of the oil over medium heat. Add the onion and cook, stirring often, for 4 mins, or until tender. Stir in the garlic and cook for 1 min or until garlic is tender.
214	2	Step 2	Stir in the vinegar, tomato sauce, water, sugar, Worcestershire sauce, mustard, salt, black pepper and cayenne. Bring to a simmer over high heat. Reduce heat to medium-low and simmer uncovered, stirring often, for 15 mins or until the sauce reduces and thickens slightly. Remove from heat. Reserve 1/4 cup sauce for basting. (See Note.)
214	3	Step 3	Heat the barbecue on medium-high. Coat chicken with remaining tablespoon oil and season with salt and pepper. Place chicken on the grill, close the hood for hooded barbecues, and cook chicken, basting occasionally with reserved 1/4 cup barbecue sauce, for 2-3 mins each side or until cooked through and slightly charred on the outside but still juicy.
214	4	Step 4	Meanwhile, in a small bowl, whisk the mayonnaise and vinegar to blend. Season.
214	5	Step 5	Using your hands, gently toss the zucchini, carrots, onion and coriander leaves and stems in a large bowl to combine. Toss the slaw with enough dressing to coat. Season to taste with salt and pepper.
214	6	Step 6	Transfer the chicken and slaw to plates. Serve with remaining barbecue sauce.
215	1	Step 1	In a small heavy saucepan, heat 2 teaspoons of the oil over medium heat. Add the onion and cook, stirring often, for 4 minutes, or until tender. Stir in the garlic and cook for 1 minute or until garlic is tender.
215	2	Step 2	Stir in the vinegar, tomato sauce, water, sugar, Worcestershire sauce, mustard, salt, black pepper and cayenne. Bring to a simmer over high heat. Reduce heat to medium-low and simmer uncovered, stirring often, for 15 minutes or until the sauce reduces and thickens slightly. Remove from heat. Reserve 1/4 cup sauce for basting.
215	3	Step 3	Heat the barbecue on medium-high. Coat chicken with remaining tablespoon of oil and season with salt and pepper. Place chicken on the grill, close the hood for hooded barbecues, and cook chicken, basting occasionally with reserved 1/4 cup barbecue sauce, for 2-3 minutes each side or until cooked through and slightly charred on the outside but still juicy.
215	4	Step 4	Meanwhile, in a small bowl, whisk the mayonnaise and vinegar to blend. Season.
215	5	Step 5	Using your hands, gently toss the zucchini, carrots, onion and coriander leaves and stems in a large bowl to combine. Toss the slaw with enough dressing to coat. Season to taste with salt and pepper.
215	6	Step 6	Transfer the chicken and slaw to plates. Serve with remaining barbecue sauce.
216	1	Step 1	For chicken: Whisk soy sauce, oil, garlic and ginger in a bowl. Add chicken and turn to coat. Cover and refrigerate for at least 2 hours.
216	2	Step 2	Preheat barbecue to medium heat. Place chicken on barbecue and cook, turning once, for 8-10 minutes per side. Remove from barbecue and transfer to a plate covered with foil.
216	3	Step 3	Combine all vinaigrette ingredients in a bowl.
216	4	Step 4	In large bowl combine the wombok, carrot, 1/2 the spring onion and coriander with the vinaigrette. Toss well to coat.
216	5	Step 5	To serve: Divide salad among four plates, place chicken against salad and garnish with toasted almonds and remaining spring onions.
217	1	Step 1	For the chilli and capsicum jam: preheat grill on high. Cook capsicums, skin-side up, under grill for 8-10 minutes or until charred and blistered. Transfer to a heatproof bowl, cover with foil and set aside for 5 minutes (this helps lift the skin). Peel and finely chop flesh.
217	2	Step 2	Combine capsicum, eschalot, tomato, ginger, garlic and vinegar in a medium saucepan over medium-low heat. Cook, stirring occasionally, for 10 minutes or until eschalot softens. Add palm sugar, lime juice and chilli and cook, stirring occasionally, for a further 15 minutes or until thick and syrupy. Add fish sauce and stir to combine. Remove from heat and set aside to cool.
217	3	Step 3	Combine the cucumber, tomato, eschalot, lemongrass, mint and coriander in a large bowl. Add 2 tablespoons of chilli and capsicum jam and gently toss until just combined. Place on a serving platter. Top with duck and drizzle with extra chilli and capsicum jam. Sprinkle with shredded kaffir lime leaves to serve.
218	1	Step 1	Cook the SunRice black rice following packet directions. Set aside to cool completely.
218	2	Step 2	Combine the cucumber, carrot, vinegar, sugar and salt in a large bowl. Toss to combine. Set side for 15 minutes to pickle. Drain well.
218	3	Step 3	Combine the rice, duck, shallots, mint, basil and coriander in a large bowl. Toss to combine.
218	4	Step 4	Combine the lime juice, fish sauce, sugar and oil in s small bowl. Drizzle over rice mixture and toss to combine. Arrange cucumber mixture on a serving platter. Top with rice mixture and sprinkle with peanuts to serve.
